means,12:Ac,Z5-12:Ac,Z7-12:Ac,11-12:Ac,Z7-14:Ac,Z9-14:Ac
14.31,11.3778,0.251072824,68.84179302,2.347389915,5.924816324,144.9015875
1.4,0.251072824,0.076,7.553235702,0.238516809,0.70433592,-0.399192194
120.28,68.84179302,7.553235702,781.6284,23.13700841,54.46444149,796.1706545
3.55,2.347389915,0.238516809,23.13700841,0.8844,1.96720093,33.13608657
7.1,5.924816324,0.70433592,54.46444149,1.96720093,2.5498,40.84913994
162.86,144.9015875,-0.399192194,796.1706545,33.13608657,40.84913994,2329.7428
