means,malecalyxwidth,malepetallimblength,femalecalyxwidth,femalepetallimblength
7.5,0.377,0.031,0.501,0.151
11.6,0.031,0.754,0.009,0.942
11.3,0.501,0.009,1.073,0.131
13.7,0.151,0.942,0.131,1.339
