means,beakwidth,beakdepth,beaklength,tarsuslength,winglength,taillength,1stprimarylength
4.13,0.8577,0.4623,0.1532,-0.0147,0.0301,0.1181,0.0273
3.2525,0.4623,0.6123,0.1525,0,0.0337,0.0356,-0.1048
13.4625,0.1532,0.1525,0.3846,0.1218,0.0638,0.0629,0.0229
19.5225,-0.0147,0,0.1218,0.3882,0.1172,0.0598,0.1696
81.415,0.0301,0.0337,0.0638,0.1172,0.268,0.1889,0.2149
51.3925,0.1181,0.0356,0.0629,0.0598,0.1889,0.3642,0.2161
37.005,0.0273,-0.1048,0.0229,0.1696,0.2149,0.2161,0.9508
