means,femurlength,headwidth,prothoraxlength,prothoraxwidth,ovipositorlength
10.48,0.68,0.48,0.32,0.52,0.48
5.14,0.48,0.63,0.43,0.49,0.46
3.69,0.32,0.43,0.69,0.5,0.49
5.8,0.52,0.49,0.5,0.75,0.56
14.07,0.48,0.46,0.49,0.56,1.65
