means,maleweight,malelength,malewidth,femaleweight,femalelength,femalewidth
0.357142857,0.0227,0.0112,0.0138,0.0328,0.0084,0.0132
2.13,0.0112,0.0041,0.0045,0.0132,0.0048,0.004
1.01,0.0138,0.0045,0.0046,0.0136,0.003,0.0056
0.37164751,0.0328,0.0132,0.0136,0.0125,-0.0001,0.0036
2.19,0.0084,0.0048,0.003,-0.0001,0.0002,0.0014
1.03,0.0132,0.004,0.0056,0.0036,0.0014,0.002
