means,repertoire.size,number.of.syllables,motif.duration,syllable.rate,sound.density,percent.motif.duration,stereotypy,intra.similarity,percent.call.syllables
4.33,0.069903,0.069911799,0.072837289,-0.004922312,-0.042579112,-0.011617207,-0.044132342,0.020472493,-0.020276615
4.69,0.069911799,0.095424,0.077385178,0.002451284,-0.076726102,-0.040587858,-0.022459367,0.021147137,-0.051220424
807,0.072837289,0.077385178,0.134924,-0.062892505,-0.030019082,0.007364768,-0.060979327,0.029515779,-0.012136631
5,-0.004922312,0.002451284,-0.062892505,0.09315,0.01785118,0.031508186,0.043548159,-0.001401403,-0.024609348
0.836,-0.042579112,-0.076726102,-0.030019082,0.01785118,0.160489,0.151758213,0.033252987,-0.015050262,0.030480592
0.844,-0.011617207,-0.040587858,0.007364768,0.031508186,0.151758213,0.181984,0.00607396,0.006232518,0.033233552
0.917,-0.044132342,-0.022459367,-0.060979327,0.043548159,0.033252987,0.00607396,0.091773,-0.024595519,-0.05124113
0.164,0.020472493,0.021147137,0.029515779,-0.001401403,-0.015050262,0.006232518,-0.024595519,0.043561,0.027267996
0.155,-0.020276615,-0.051220424,-0.012136631,-0.024609348,0.030480592,0.033233552,-0.05124113,0.027267996,0.091887
