means,femurlength,headwidth,prothoraxlength,prothoraxwidth,ovipositorlength
12.45,1.55,1.44,1.32,1.61,1.71
5.74,1.44,1.87,1.52,1.7,2.04
4.2,1.32,1.52,1.7,1.62,1.85
6.28,1.61,1.7,1.62,1.99,1.93
15.42,1.71,2.04,1.85,1.93,3.01
