means,femurlength,headwidth,prothoraxlength,prothoraxwidth,ovipositorlength
13.5,1.29,1.13,1.42,1.09,1.12
6.05,1.13,1.5,1.47,1.37,1.28
4.4,1.42,1.47,2.27,1.59,1.49
6.8,1.09,1.37,1.59,1.51,1.1
18,1.12,1.28,1.49,1.1,3.09
