means,petallength,petalwidth,corollatubelength,shortfilamentlength,longfilamentlength,pistillength
7.71,0.198,0.165,0.03,-0.038,-0.056,0.251
6.89,0.165,0.475,0.082,0.054,-0.001,0.27
9.2,0.03,0.082,0.132,0.089,0.085,0.274
6.69,-0.038,0.054,0.089,0.091,0.103,0.171
8.86,-0.056,-0.001,0.085,0.103,0.151,0.248
11.29,0.251,0.27,0.274,0.171,0.248,1.082
