means,femurlength,headwidth,prothoraxlength,prothoraxwidth,ovipositorlength
11.55,1.63,1.41,1.23,1.51,1.2
5.27,1.41,1.93,1.45,1.7,1.19
3.64,1.23,1.45,21.3,1.35,0.9
6.14,1.51,1.7,1.35,2.06,1.18
15.83,1.2,1.19,0.9,1.18,2.66
