means,femurlength,headwidth,prothoraxlength,prothoraxwidth,ovipositorlength
1.13,0.32,0.11,0.07,0.15,0.36
0.51,0.11,0.04,0.03,0.06,0.13
0.34,0.07,0.03,0.02,0.03,0.09
0.6,0.15,0.06,0.03,0.08,0.17
1.56,0.36,0.13,0.09,0.17,1.06
