means,corolla.tube.length,corolla.limb.width,corolla.mouth.diameter,nectar.concentration,log.nectar.volume,log.total.energy
61.965,6.004,0.706523921,0.003826998,-0.266495292,0.031340172,-0.004959071
45.49,0.706523921,1.192,0.152744847,0.008908986,0.021092928,0.011890532
7.79,0.003826998,0.152744847,0.056,0.007402199,0.0075224,0.008614792
17.1,-0.266495292,0.008908986,0.007402199,0.16,0.010611484,0.009780292
6.235,0.031340172,0.021092928,0.0075224,0.010611484,0.032,0.020197232
1.23,-0.004959071,0.011890532,0.008614792,0.009780292,0.020197232,0.016
