means,lobeloength,lobewidth,corollalength,corollawidth,stigmatonectary,stigmaexsertion
12.99,1.915,0.39,0.033,0.418,0.05,-0.002
5.93,0.39,0.241,-0.038,0.158,0.059,0.114
16.96,0.033,-0.038,0.979,-0.144,0.787,-0.16
6.48,0.418,0.158,-0.144,0.475,-0.075,0.063
23.18,0.05,0.059,0.787,-0.075,1.23,0.349
6.08,-0.002,0.114,-0.16,0.063,0.349,0.471
