means,lambweightjune,lambweightseptember,weightjune,weightseptember,fecundity
8.81,0.72,1.56,0.72,1.23,0.015
26.46,1.56,4.08,1.67,3.08,0.059
49.19,0.72,1.67,4.47,5.68,0.088
64.77,1.23,3.08,5.68,8.59,0.098
0.091,0.015,0.059,0.088,0.098,0.005
