means,femurlength,headwidth,prothoraxlength,prothoraxwidth,ovipositorlength
13.4,0.98,0.67,0.84,0.65,1.12
6.13,0.67,0.93,0.73,0.75,1.05
4.45,0.84,0.73,1.15,0.67,1.11
6.9,0.65,0.75,0.67,0.86,0.78
19,1.12,1.05,1.11,0.78,2.31
