means,petallength,petalwidth,petalclawwidth,ovarylength,hypanthiumlength
16.326,1.1713,0.123,0.0003,-0.0927,0.0801
3.281,0.123,0.1453,0.0163,-0.5028,-0.0253
1.054,0.0003,0.0163,0.0042,0.002,0.0001
17.802,-0.0927,-0.5028,0.002,1.9728,0.1897
2.486,0.0801,-0.0253,0.0001,0.1897,0.1116
