means,femurlength,headwidth,prothoraxlength,prothoraxwidth,ovipositorlength
9.39,0.38,0.4,0.42,0.31,0.19
5.39,0.4,0.72,0.73,0.59,0.18
3.43,0.42,0.73,1.31,0.7,0.16
5.73,0.31,0.59,0.7,0.59,0.15
12.67,0.19,0.18,0.16,0.15,0.76
