means,femurlength,headwidth,prothoraxlength,prothoraxwidth,ovipositorlength
12.8,4.32,3.7,4.1,3.85,3.7
5.9,3.7,3.87,3.71,3.51,3.99
4.2,4.1,3.71,4.28,3.74,3.39
6.79,3.85,3.51,3.74,3.98,3.76
18,3.7,3.99,3.39,3.76,4.02
