means,leaf.mass.per.area,stomatal.density,stomatal.length,veg.biomass
0.005185,7.622,1.644740957,-0.773516742,5.389670296
50.53,1.644740957,8.259,-3.829679524,-5.528828012
26.6,-0.773516742,-3.829679524,3.988,3.957453752
27.57,5.389670296,-5.528828012,3.957453752,30.952
