means,tarsuslength,winglength,billdepth,billlength,bodymass
19.55,0.348,0.201,0.062,-0.032,0.107
78.12,0.201,1.638,0.005,0.025,-0.141
8.13,0.062,0.005,0.048,0.014,-0.004
13.75,-0.032,0.025,0.014,0.123,-0.282
32.85,0.107,-0.141,-0.004,-0.282,0.67
