means,petallength,petalwidth,petalclawwidth,ovarylength,hypanthiumlength
17.678,0.0324,0.3724,-0.0412,0.019,0.0703
3.305,0.3724,1.0383,0.03,0.1372,-0.0027
1.061,-0.0412,0.03,0.0031,-0.0174,-0.0046
19.176,0.019,0.1372,-0.0174,2.9872,0.4089
6.624,0.0703,-0.0027,-0.0046,0.4089,0.1503
