means,flowernumber,corolladiameter,pistillength,antherlength,antherwidth
11.37,2.059,0.1839,0.1475,0.0482,0.01335
31.735,0.1839,3.8896,0.37595,0.15305,0.04185
12.195,0.1475,0.37595,0.7568,0.0618,0.01675
7.715,0.0482,0.15305,0.0618,0.3692,0.00175
2.15,0.01335,0.04185,0.01675,0.00175,0.0202
