means,femurlength,headwidth,prothoraxlength,prothoraxwidth,ovipositorlength
1.15,0.22,0.09,0.06,0.12,0.26
0.53,0.09,0.05,0.03,0.06,0.13
0.36,0.06,0.03,0.03,0.03,0.07
0.61,0.12,0.06,0.03,0.08,0.15
1.59,0.26,0.13,0.07,0.15,0.81
