means,femurlength,headwidth,prothoraxlength,prothoraxwidth,ovipositorlength
11.55,1.29,1.13,1.42,1.09,1.12
5.27,1.13,1.5,1.47,1.37,1.29
3.64,1.42,1.47,2.28,1.6,1.49
6.14,1.09,1.37,1.6,1.52,1.1
15.83,1.12,1.29,1.49,1.1,3.1
