means,femurlength,headwidth,prothoraxlength,prothoraxwidth,ovipositorlength
12.81,1.5,1.02,1.16,1.3,0.41
5.91,1.02,4.07,3.78,3.93,0.83
4.32,1.16,3.78,1.8,1.59,0.88
6.55,1.3,3.93,1.59,1.87,0.83
17,0.41,0.83,0.88,0.83,2.24
