means,femurlength,headwidth,prothoraxlength,prothoraxwidth,ovipositorlength
12.79,1,1.23,0.87,0.35,1.44
6.09,1.23,1.64,1.47,0.84,2.13
4.42,0.87,1.47,1.84,1.22,1.95
6.88,0.35,0.84,1.22,1.4,0.93
17,1.44,2.13,1.95,0.93,3.59
