means,PC2_Env1,PC2_Env2,PC2_Env3,PC2_Env4,PC2_Env5,PC2_Env6
0,0.206,0.095,-0.029,0.014,0.031,-0.22
0,0.095,0,0.02,-0.009,-0.051,-0.071
0,-0.029,0.02,0.162,-0.024,-0.103,-0.055
0,0.014,-0.009,-0.024,0,-0.007,-0.015
0,0.031,-0.051,-0.103,-0.007,0,0.074
0,-0.22,-0.071,-0.055,-0.015,0.074,0.2
