means,juneweightage0,juneweightage1,juneweightage2,juneweightage3,juneweightage4,juneweightage5
10,0.1,0.692,1.395,1.632,-0.216,-0.756
30,0.692,9.17,8.27,8.126,6.776,4.799
44,1.395,8.27,5.47,6.194,4.665,4.803
55,1.632,8.126,6.194,5.08,7.839,8.858
61.5,-0.216,6.776,4.665,7.839,3.27,4.893
65,-0.756,4.799,4.803,8.858,4.893,3.95
