means,femurlength,headwidth,prothoraxlength,prothoraxwidth,ovipositorlength
13.46,0.68,0.48,0.32,0.52,0.48
6.06,0.48,0.63,0.43,0.49,0.46
4.4,0.32,0.43,0.69,0.5,0.49
6.79,0.52,0.49,0.5,0.75,0.56
18.08,0.48,0.46,0.49,0.56,1.65
