means,PC3_Env1,PC3_Env2,PC3_Env3,PC3_Env4,PC3_Env5,PC3_Env6
0,0.065,0.187,0.038,0.04,0.111,0.022
0,0.187,0.505,0.161,0.137,0.238,0.114
0,0.038,0.161,0.052,0.03,0.099,-0.05
0,0.04,0.137,0.03,0,0.046,0.026
0,0.111,0.238,0.099,0.046,0.025,0.063
0,0.022,0.114,-0.05,0.026,0.063,0
