means,lobeloength,lobewidth,corollalength,corollawidth,stigmatonectary,stigmaexsertion
14.17,0.911,0.106,0.235,0.129,0.286,0.127
5.94,0.106,0.149,0.038,0.157,0.188,0.141
17.61,0.235,0.038,0.686,0.021,0.602,-0.114
6.41,0.129,0.157,0.021,0.414,0.106,0.034
24.04,0.286,0.188,0.602,0.106,1.09,0.454
6.39,0.127,0.141,-0.114,0.034,0.454,0.6
