means,ventralscales,subcaudalscales,midbodydorsalscales,infralabialscales,supralabialscales,postocularscales
156.277,5.02,1.464,0.089,0.419,0.745,0.346
80.982,1.464,9.201,-0.298,0.848,0.767,-0.118
18.776,0.089,-0.298,0.044,0.078,0.149,-0.049
18.573,0.419,0.848,0.078,0.264,0.512,0.085
14.665,0.745,0.767,0.149,0.512,0.427,0.046
5.722,0.346,-0.118,-0.049,0.085,0.046,-0.031
