means,femurlength,headwidth,prothoraxlength,prothoraxwidth,ovipositorlength
12.17,1.57,1.18,1.48,1.54,0.79
5.49,1.18,1.12,1.26,1.31,0.65
4.04,1.48,1.26,1.82,1.61,0.68
6.29,1.54,1.31,1.61,1.78,0.82
13.38,0.79,0.65,0.68,0.82,1.19
