means,femaleCV1,femaleCV2,femaleCV3,femaleCV4,maleCV1,maleCV2,maleCV3,maleCV4
0,41.695,-10.596,4.429,-0.815,3.12,-2.994,-3.293,9.545
0,-10.596,16.57,-5.206,-4.583,-7.112,1.58,3.236,0.452
0,4.429,-5.206,8.533,4.369,-0.834,-2.977,0.677,-1.874
0,-0.815,-4.583,4.369,9.68,1.322,-4.098,1.075,-0.893
0,3.12,-7.112,-0.834,1.322,36.926,4.325,6.271,4.743
0,-2.994,1.58,-2.977,-4.098,4.325,5.141,-1.439,-0.09
0,-3.293,3.236,0.677,1.075,6.271,-1.439,5.003,0.864
0,9.545,0.452,-1.874,-0.893,4.743,-0.09,0.864,5.628
