means,spikelet.sterility,shoot.dry.matter.at.maturity,days.to.flowering,flowering.delay.under.stress
60.5,20,-0.6,0.29,0.7
206,-0.6,5111,-0.61,-0.71
97.9,0.29,-0.61,6.88,0.97
6.5,0.7,-0.71,0.97,1.1
