means,flowernumber,corolladiameter,pistillength,antherlength,antherwidth
21.49,6.8676,0.20975,0.11165,0.03205,0.0042
29.62,0.20975,3.3674,0.2492,0.1219,0.01465
11.275,0.11165,0.2492,0.6611,0.03905,0.0052
7.225,0.03205,0.1219,0.03905,0.1858,0.0047
2.17,0.0042,0.01465,0.0052,0.0047,0.0247
