means,petallength,petalwidth,corollatubelength,shortfilamentlength,longfilamentlength,pistillength
10.69,0.919,0.405,0.284,0.275,0.306,0.517
8.78,0.405,0.792,0.193,0.158,0.147,0.291
11.58,0.284,0.193,0.52,0.365,0.48,0.426
9.58,0.275,0.158,0.365,0.445,0.49,0.339
11.71,0.306,0.147,0.48,0.49,0.659,0.461
14.79,0.517,0.291,0.426,0.339,0.461,2.417
