means,flowernumber,corolladiameter,pistillength,antherlength,antherwidth
11.415,3.8756,0.02505,-0.0246,0.0266,-0.0139
32.24,0.02505,6.9322,0.4329,0.30435,0.0336
11.645,-0.0246,0.4329,0.79,0.10635,0.0119
8.535,0.0266,0.30435,0.10635,0.4819,0.0154
2.005,-0.0139,0.0336,0.0119,0.0154,0.0271
