means,birthmass,weaningmass,growthrate,adultmass
3.94,0.15,0.99,0.032,-0.02
12.28,1.98,6.11,0.31,7.76
0.56,0.064,0.62,0.02,-0.06
44.37,-0.04,15.52,-0.12,5.7
