means,spotnumber,meanbrightness,brightnesscontrast,meanchroma,colourcontrast
8.12,0.163,0.177,0.081,0.129,0.071
0.307,0.177,0.197,0.051,0.069,0.084
0.117,0.081,0.051,0.174,-0.021,0.097
0.623,0.129,0.069,-0.021,0.261,-0.06
0.106,0.071,0.084,0.097,-0.06,0.117
