means,beakwidth,beakdepth,beaklength,tarsuslength,winglength,taillength,1stprimarylength
0.23,1.34,2.7,-0.1,0.23,0.05,0.95,0.04
0.13,2.7,5.14,1.71,0.35,0.56,-0.09,2.15
0.35,-0.1,1.71,2.78,0.54,0.67,-0.74,0.67
0.49,0.23,0.35,0.54,2.42,0.44,1.55,-0.3
0.42,0.05,0.56,0.67,0.44,1.44,1.06,1.09
0.51,0.95,-0.09,-0.74,1.55,1.06,6.8,-0.45
0.44,0.04,2.15,0.67,-0.3,1.09,-0.45,3.9
