means,12:Ac,Z5-12:Ac,Z7-12:Ac,11-12:Ac,Z7-14:Ac,Z9-14:Ac
32.01,157.176,-78.34738716,646.5149372,73.76690554,11.64590545,18.68395123
49.57,-78.34738716,104.955,33.01923682,-40.48626627,11.1573904,4.230843092
606.18,646.5149372,33.01923682,25969.9395,750.0755089,2.58099771,248.8464427
24.59,73.76690554,-40.48626627,750.0755089,77.1236,-0.843911777,14.66473137
2.76,11.64590545,11.1573904,2.58099771,-0.843911777,2.5651,1.006509113
3.47,18.68395123,4.230843092,248.8464427,14.66473137,1.006509113,3.224
