means,PC1_Env1,PC1_Env2,PC1_Env3,PC1_Env4,PC1_Env5,PC1_Env6
0,0.315,0.138,0.255,0.043,0.145,0.153
0,0.138,0.23,0.014,0.017,-0.088,-0.088
0,0.255,0.014,0.173,0.011,0.101,0.059
0,0.043,0.017,0.011,0.061,0.099,0.077
0,0.145,-0.088,0.101,0.099,0.209,0.249
0,0.153,-0.088,0.059,0.077,0.249,0.102
