means,beakwidth,beakdepth,beaklength,tarsuslength,winglength,taillength,1stprimarylength
0.42,5.5,3.28,0.19,-1.74,-0.15,-2.12,0.12
0.37,3.28,6.02,0.76,-0.58,0.32,-1.24,0.98
0.24,0.19,0.76,2.44,0.61,-0.28,-0.53,-0.76
0.38,-1.74,-0.58,0.61,2.44,0.42,-0.28,0.31
0.6,-0.15,0.32,-0.28,0.42,2.72,1.63,2.05
0.25,-2.12,-1.24,-0.53,-0.28,1.63,2.26,1.27
0.27,0.12,0.98,-0.76,0.31,2.05,1.27,3.72
