means,gynoecium.length,corolla.length,corolla.width,stigma.exsertion,nectar.volume,nectar.sugar
23.39,0.57,0.411794852,-0.123439793,0.252146386,0.21225242,0.06391995
25.04,0.411794852,1.19,-0.055634432,-0.567506024,0.657176346,0.167398088
4.94,-0.123439793,-0.055634432,0.09,-0.063583901,0.108437862,-0.014287057
-1.65,0.252146386,-0.567506024,-0.063583901,1.65,-0.180562351,-0.067970582
19.2,0.21225242,0.657176346,0.108437862,-0.180562351,16.13,2.125182345
5.37,0.06391995,0.167398088,-0.014287057,-0.067970582,2.125182345,1.12
