means,femurlength,headwidth,prothoraxlength,prothoraxwidth,ovipositorlength
13.46,1.29,1.13,1.42,1.09,1.12
6.06,1.13,1.5,1.47,1.37,1.29
4.4,1.42,1.47,2.28,1.6,1.49
6.79,1.09,1.37,1.6,1.52,1.1
18.08,1.12,1.29,1.49,1.1,3.1
