means,tarsuslength,winglength,billdepth,billlength,bodymass
19.585,0.278,-0.01,0.024,0.022,0.163
79.46,-0.01,1.11,0.015,-0.083,-0.052
8.17,0.024,0.015,0.025,-0.005,-0.017
13.72,0.022,-0.083,-0.005,0.105,-0.039
32.375,0.163,-0.052,-0.017,-0.039,0.734
