means,tailarea,blackarea,fuzzyarea,iridescentare,orangearea,orangechroma,orangebrightness
17.6,0.211,0.016,0.11,0.204,-0.136,0.052,-0.102
1.56,0.016,0.161,-0.218,0.028,-0.144,0.004,-0.282
2.47,0.11,-0.218,0.24,-0.076,-0.076,0.004,0.128
3.15,0.204,0.028,-0.076,0.139,-0.176,-0.102,-0.094
2.33,-0.136,-0.144,-0.076,-0.176,0.269,0.064,0.178
0.136,0.052,0.004,0.004,-0.102,0.064,0.045,-0.096
35.46,-0.102,-0.282,0.128,-0.094,0.178,-0.096,0.086
