means,femurlength,headwidth,prothoraxlength,prothoraxwidth,ovipositorlength
11.72,1.06,1.05,1.13,1.05,1.28
5.46,1.05,1.34,1.24,1.18,1.4
3.85,1.13,1.24,1.33,1.19,1.39
6.06,1.05,1.18,1.19,1.22,1.2
15.06,1.28,1.4,1.39,1.2,2.41
